resizing_size,neurons_1,neurons_2,neurons_3,dropout_rate,activation,train_loss,train_acc,es_loss,es_acc,val_loss,val_acc
16,1024,256,128.0,0.2,relu,0.9808957576751709,0.6783854365348816,1.4937505722045898,0.453125,1.596561312675476,0.44921875
16,1024,256,128.0,0.2,tanh,1.1153982877731323,0.6002604365348816,1.4646217823028564,0.47265625,1.4748399257659912,0.41796875
16,1024,256,128.0,0.4,relu,1.0604743957519531,0.6380208134651184,1.5019018650054932,0.453125,1.6228346824645996,0.41015625
16,1024,256,128.0,0.4,tanh,1.0850880146026611,0.6223958134651184,1.4470263719558716,0.48046875,1.4808567762374878,0.4375
16,1024,256,256.0,0.0,relu,1.1565929651260376,0.60546875,1.5152573585510254,0.4609375,1.58286714553833,0.4140625
16,1024,256,256.0,0.0,tanh,1.1645771265029907,0.5572916865348816,1.5238010883331299,0.4296875,1.5671883821487427,0.41796875
16,1024,256,256.0,0.2,relu,0.8111287951469421,0.7356770634651184,1.5073753595352173,0.484375,1.6743254661560059,0.45703125
16,1024,256,256.0,0.2,tanh,1.0237202644348145,0.6276041865348816,1.4326534271240234,0.4609375,1.4897103309631348,0.43359375
16,1024,256,256.0,0.4,relu,1.2233937978744507,0.5911458134651184,1.5064277648925781,0.484375,1.5506808757781982,0.421875
16,1024,256,256.0,0.4,tanh,1.2151869535446167,0.5807291865348816,1.4640744924545288,0.4921875,1.4796247482299805,0.46484375
16,1024,512,,0.0,relu,1.1287040710449219,0.6315104365348816,1.4918770790100098,0.4765625,1.5417762994766235,0.4296875
16,1024,512,,0.0,tanh,0.8783683776855469,0.7122395634651184,1.54972505569458,0.46484375,1.5595645904541016,0.4765625
16,1024,512,,0.2,relu,0.9871909618377686,0.6940104365348816,1.46951425075531,0.4921875,1.5185739994049072,0.44140625
16,1024,512,,0.2,tanh,0.7234392762184143,0.77734375,1.4994843006134033,0.48046875,1.531922698020935,0.4140625
16,1024,512,,0.4,relu,1.1685694456100464,0.6197916865348816,1.4826133251190186,0.4921875,1.517257571220398,0.41796875
16,1024,512,,0.4,tanh,1.0904062986373901,0.65234375,1.442356824874878,0.4609375,1.4713048934936523,0.4375
16,1024,512,128.0,0.0,relu,1.1449285745620728,0.59375,1.516449213027954,0.45703125,1.5384891033172607,0.42578125
16,1024,512,128.0,0.0,tanh,0.9759954810142517,0.66015625,1.5308977365493774,0.4609375,1.5302201509475708,0.45703125
16,1024,512,128.0,0.2,relu,1.0676918029785156,0.6354166865348816,1.4874855279922485,0.4609375,1.5433495044708252,0.3828125
16,1024,512,128.0,0.2,tanh,1.0104515552520752,0.6536458134651184,1.4595316648483276,0.49609375,1.4746816158294678,0.4375
16,1024,512,128.0,0.4,relu,1.1331521272659302,0.6171875,1.49718177318573,0.48046875,1.5916087627410889,0.3828125
16,1024,512,128.0,0.4,tanh,1.0822674036026,0.6354166865348816,1.4763296842575073,0.45703125,1.4586361646652222,0.484375
16,1024,512,256.0,0.0,relu,1.1161693334579468,0.6041666865348816,1.4509429931640625,0.4921875,1.5000245571136475,0.4609375
16,1024,512,256.0,0.0,tanh,1.124440312385559,0.56640625,1.5404566526412964,0.44921875,1.5479401350021362,0.390625
16,1024,512,256.0,0.2,relu,1.09095299243927,0.6236979365348816,1.478918433189392,0.47265625,1.5767409801483154,0.44140625
16,1024,512,256.0,0.2,tanh,0.9495267271995544,0.6692708134651184,1.4217740297317505,0.48046875,1.5062066316604614,0.4375
16,1024,512,256.0,0.4,relu,1.1441446542739868,0.6328125,1.5171709060668945,0.47265625,1.5562649965286255,0.42578125
16,1024,512,256.0,0.4,tanh,1.1890721321105957,0.5859375,1.4473568201065063,0.48046875,1.5135170221328735,0.4140625
32,512,256,,0.0,relu,0.9295635223388672,0.6692708134651184,1.4762324094772339,0.453125,1.5231220722198486,0.46484375
32,512,256,,0.0,tanh,1.0593739748001099,0.6145833134651184,1.5278263092041016,0.4296875,1.5094560384750366,0.4375
32,512,256,,0.2,relu,1.1074035167694092,0.62109375,1.473111867904663,0.46875,1.5245237350463867,0.4140625
32,512,256,,0.2,tanh,0.982100784778595,0.6510416865348816,1.4837454557418823,0.46484375,1.5449268817901611,0.40234375
32,512,256,,0.4,relu,1.2045797109603882,0.6184895634651184,1.510550856590271,0.46875,1.5673635005950928,0.41015625
32,512,256,,0.4,tanh,1.1938036680221558,0.5807291865348816,1.5100626945495605,0.46484375,1.5441991090774536,0.4375
32,512,256,128.0,0.0,relu,1.2115089893341064,0.5638020634651184,1.4966214895248413,0.44140625,1.5449362993240356,0.41796875
32,512,256,128.0,0.0,tanh,1.0168288946151733,0.6432291865348816,1.4806987047195435,0.484375,1.5850473642349243,0.41796875
32,512,256,128.0,0.2,relu,0.9621732234954834,0.6653645634651184,1.5178279876708984,0.46875,1.6511743068695068,0.36328125
32,512,256,128.0,0.2,tanh,0.951829731464386,0.6692708134651184,1.4909899234771729,0.47265625,1.6111524105072021,0.390625
32,512,256,128.0,0.4,relu,1.3495349884033203,0.5338541865348816,1.6178205013275146,0.4296875,1.6372437477111816,0.40234375
32,512,256,128.0,0.4,tanh,1.3980941772460938,0.44921875,1.6050550937652588,0.41796875,1.5719833374023438,0.3515625
32,512,256,256.0,0.0,relu,1.016422152519226,0.65234375,1.4665521383285522,0.51171875,1.5692319869995117,0.42578125
32,512,256,256.0,0.0,tanh,1.0861905813217163,0.6119791865348816,1.5673328638076782,0.4453125,1.5302329063415527,0.4375
32,512,256,256.0,0.2,relu,1.1322212219238281,0.6067708134651184,1.5500823259353638,0.453125,1.6356620788574219,0.4375
32,512,256,256.0,0.2,tanh,0.9906468391418457,0.6419270634651184,1.531050682067871,0.46875,1.5793266296386719,0.43359375
32,512,256,256.0,0.4,relu,1.4418034553527832,0.4921875,1.633170485496521,0.41015625,1.6205081939697266,0.359375
32,512,256,256.0,0.4,tanh,1.1799875497817993,0.5716145634651184,1.5713387727737427,0.43359375,1.5625213384628296,0.39453125
32,512,512,,0.0,relu,1.0557626485824585,0.6236979365348816,1.4983186721801758,0.44921875,1.5777369737625122,0.44921875
32,512,512,,0.0,tanh,1.0888830423355103,0.6028645634651184,1.4826586246490479,0.49609375,1.5337069034576416,0.43359375
32,512,512,,0.2,relu,1.1576827764511108,0.625,1.489572286605835,0.4609375,1.5503112077713013,0.41015625
